Month,Cupcake
2004-01,5
2004-02,7
2004-03,6
2004-04,5
2004-05,5
2004-06,5
2004-07,6
2004-08,6
2004-09,7
2004-10,9
2004-11,5
2004-12,6
2005-01,6
2005-02,8
2005-03,8
2005-04,7
2005-05,7
2005-06,7
2005-07,7
2005-08,7
2005-09,8
2005-10,11
2005-11,8
2005-12,8
2006-01,9
2006-02,11
2006-03,10
2006-04,11
2006-05,12
2006-06,11
2006-07,10
2006-08,12
2006-09,13
2006-10,15
2006-11,12
2006-12,11
2007-01,12
2007-02,16
2007-03,15
2007-04,16
2007-05,17
2007-06,17
2007-07,18
2007-08,18
2007-09,19
2007-10,22
2007-11,19
2007-12,18
2008-01,20
2008-02,26
2008-03,23
2008-04,24
2008-05,25
2008-06,23
2008-07,24
2008-08,26
2008-09,26
2008-10,32
2008-11,27
2008-12,25
2009-01,30
2009-02,37
2009-03,34
2009-04,35
2009-05,35
2009-06,36
2009-07,37
2009-08,39
2009-09,36
2009-10,44
2009-11,38
2009-12,35
2010-01,39
2010-02,47
2010-03,45
2010-04,47
2010-05,51
2010-06,48
2010-07,60
2010-08,64
2010-09,61
2010-10,66
2010-11,58
2010-12,56
2011-01,58
2011-02,74
2011-03,72
2011-04,77
2011-05,70
2011-06,73
2011-07,72
2011-08,78
2011-09,75
2011-10,86
2011-11,80
2011-12,80
2012-01,82
2012-02,98
2012-03,92
2012-04,92
2012-05,94
2012-06,90
2012-07,87
2012-08,90
2012-09,92
2012-10,98
2012-11,85
2012-12,84
2013-01,81
2013-02,98
2013-03,99
2013-04,85
2013-05,86
2013-06,84
2013-07,85
2013-08,86
2013-09,85
2013-10,98
2013-11,87
2013-12,81
2014-01,83
2014-02,100
2014-03,90
2014-04,86
2014-05,82
2014-06,75
2014-07,81
2014-08,79
2014-09,82
2014-10,88
2014-11,79
2014-12,75
2015-01,72
2015-02,87
2015-03,79
2015-04,72
2015-05,73
2015-06,71
2015-07,70
2015-08,70
2015-09,70
2015-10,79
2015-11,68
2015-12,66
2016-01,64
2016-02,76
2016-03,71
2016-04,67
2016-05,65
2016-06,63
2016-07,61
2016-08,57
2016-09,59
2016-10,67
2016-11,57
2016-12,53
2017-01,55
2017-02,68
2017-03,58
2017-04,57
2017-05,55
2017-06,53
2017-07,50
2017-08,50
2017-09,51
2017-10,58
2017-11,51
2017-12,48
2018-01,47
2018-02,57
2018-03,54
2018-04,48
2018-05,52
2018-06,46
2018-07,44
2018-08,46
2018-09,48
2018-10,52
2018-11,46
2018-12,46
2019-01,50
2019-02,55
2019-03,49
2019-04,47
2019-05,49
